dataset,model,silhouette,silhouette_pca,davies_bouldin,sse,min_balance,avg_balance,min_bera_balance,avg_bera_balance,violation_rate,cost_of_fairness,tree_fidelity,tree_depth,tree_leaves,pam_cost,avg_exemplar_coverage,min_exemplar_coverage,avg_medoid_distance,runtime_s
bank,kmeans_baseline,0.12149389912607797,0.12149389912607797,2.1488138239738297,53689.8621604635,0.11372334609075997,0.42301582073500765,0.7683100054674685,0.8789299627492795,0.25,1.0,0.9295238095238095,4,16,3.061607858030414,0.9039670790353971,0.8920863309352518,3.061607858030414,1.76
bank,kmedians_baseline,0.046271459536131807,0.046271459536131807,3.700774355544937,63526.701763961355,0.28489483747609945,0.43262903309786743,0.8863938814531548,0.9169908557921193,0.5,1.01767274017158,0.8585714285714285,4,16,3.1157148582126526,0.8795989727078823,0.8610478359908884,3.1157148582126526,1.13
bank,fair_kmedians,0.022493000397625907,0.022493000397625907,6.336047751422476,61858.28652491334,0.39285714285714285,0.47531679150286577,0.8958749756700621,0.9612394342556315,0.0,1.0507999508442287,0.6866666666666666,4,16,3.2171373867226634,0.9068098228213507,0.8841201716738197,3.2171373867226634,0.91
bank,bounded_rep,0.09511974618779818,0.09511974618779818,2.320340004019287,54260.35539890769,0.1905813097866078,0.44486425008432817,0.8213310207085042,0.9193203951923232,0.25,0.9976115954541968,0.8333333333333334,4,15,3.054295499904827,0.9082980859981455,0.9045326915363017,3.054295499904827,14.11
adult,kmeans_baseline,0.1271188326793429,0.2395660289496775,1.7114434055706733,43387.919065671835,0.13513513513513514,0.42196964204336385,0.770108108108108,0.8815498197660824,0.3333333333333333,1.0,0.8471428571428572,4,13,2.7270499458967294,0.8729288983424898,0.8525179856115108,2.7270499458967294,2.2
adult,kmedians_baseline,0.04908373640447235,0.011072444715498708,3.825336182030989,57593.23626864854,0.21912350597609562,0.4596488660537907,0.7835577043269332,0.8418392892648009,0.6666666666666666,1.045030407332316,0.8852380952380953,4,14,2.849850115776029,0.900083246262164,0.8799126637554585,2.849850115776029,1.19
adult,fair_kmedians,0.02418692250107943,0.028404420742647294,5.026436099963981,57462.12998007462,0.3504273504273504,0.4750818848307476,0.8611822373942444,0.9240732677129877,0.0,1.07562323987888,0.5980952380952381,4,15,2.9332782981169645,0.9057132085678578,0.879746835443038,2.9332782981169645,1.05
adult,bounded_rep,0.11276756000467505,0.19663616543037127,1.9110319652832437,43901.46727611756,0.20711974110032363,0.44609810102165043,0.7868692577938847,0.8600191748202711,0.0,1.0009512146214583,0.8338095238095238,4,12,2.7296439556787133,0.8881665136148368,0.8653683319220999,2.7296439556787133,14.22
compas,kmeans_baseline,0.3314467489865702,0.3314467489865702,1.320453571070604,24408.486457894916,0.2853828306264501,0.5609447032987607,0.6342156423310299,0.7706547296313259,0.5,1.0,0.9670626349892009,4,14,1.6419106439213689,0.8801046839028775,0.8309260832625318,1.6419106439213689,0.63
compas,kmedians_baseline,0.2040435729717619,0.2040435729717619,1.7628527795453868,29160.250449393017,0.358695652173913,0.6670627980840081,0.698940164558032,0.8401694498984849,0.25,0.9953242208823145,0.9897408207343412,4,15,1.6342334324194159,0.906078457045664,0.888,1.6342334324194159,0.79
compas,fair_kmedians,0.009191852303099485,0.009191852303099485,4.453721022332551,37197.367981941556,0.8560677328316086,0.878110773300855,0.9106183792753607,0.9518533390335228,0.0,1.1745241591353492,0.6225701943844493,4,16,1.9284637184271256,0.9149269684499935,0.9058663028649386,1.9284637184271256,0.72
compas,bounded_rep,0.20070282051430754,0.20070282051430754,1.6566282243727382,28012.514055267064,0.5735294117647058,0.7034254278142725,0.7085377879166974,0.83622236168853,0.0,0.8935272633629601,0.9800215982721382,4,15,1.4670919243495764,0.8810168732107554,0.803082191780822,1.4670919243495764,4.27
german,kmeans_baseline,0.09093448840379889,0.2290701755407831,2.3828797304176206,10040.88088511988,0.10687022900763359,0.4156210986633092,0.7637404580152671,0.8941405985282828,0.4,1.0,0.9033333333333333,4,14,3.7901234727949493,0.86194633122553,0.846820809248555,3.7901234727949493,0.17
german,kmedians_baseline,0.03326174693472975,0.050048296846725925,3.4416371488379034,11278.879153763995,0.2710843373493976,0.4555575018149394,0.8770481927710843,0.9288461955884604,0.2,1.0218931460060126,0.6166666666666667,4,16,3.8731011993656645,0.8620751362144663,0.84,3.8731011993656645,0.14
german,fair_kmedians,-0.009655697165202596,-0.01815006189435053,7.255024624024493,12450.664833817797,0.4057971014492754,0.4491146611325861,0.9638038123795245,0.9746423168511938,0.0,1.07525140298875,0.52,4,16,4.075335581623363,0.86022271086383,0.832089552238806,4.075335581623363,0.17
german,bounded_rep,0.07907759334159686,0.19438683576794943,2.850468638165502,10534.932886620478,0.225,0.42129265224520973,0.84525,0.8904717476726247,0.0,1.0057968589222976,0.85,4,16,3.812094283864831,0.8464841352894062,0.8165137614678899,3.812094283864831,0.97
